__id__,icecat_brand_fixed,icecat_description_short,icecat_name,icecat_summary_short,icecat_title,generation,model
MP-112953,mobiparts,"{'galaxi', 'clear', 'black', 'case', 'plus', 's21', 'rug', 'samsung'}","{'case', 'rug', 'clear'}","{'galaxi', '6.7', 'cover', 'clear', 'black', 'case', 'mobipart', 'plus', 's21', 'rug', 'samsung'}","{'mobil', '6.7', 'phone', 'cover', 'clear', 'black', 'case', 'mobipart', 'rug'}",2,6
MP-117810,mobiparts,,"{'classic', 'tpu'}","{'tpu', 'galaxi', 'fe', 'cover', '6.41', 'mobipart', 'transpar', '2021', 'classic', 's21', 'samsung'}","{'mobil', 'tpu', 'phone', 'cover', '6.41', 'case', 'mobipart', 'transpar', 'classic'}",0,3
MP-121901,mobiparts,"{'tpu', 'galaxi', '2022', 'fe', 'black', 'case', 'mobipart', 'classic', 's21', 'samsung'}",{'mp-121901'},"{'galaxi', '6.4', 'fe', 'cover', 'black', 'mobipart', 'mp-121901', 's21', 'samsung'}","{'mobil', '6.4', 'phone', 'cover', 'black', 'case', 'mobipart', 'mp-121901'}",2,6
MP-121895,mobiparts,"{'galaxi', 'silicon', '2022', 'fe', 'cover', 'black', 'mobipart', 's21', 'samsung'}",{'mp-121895'},"{'mp-121895', 'galaxi', '2022', '6.4', 'fe', 'cover', 'black', 'mobipart', 's21'}","{'mp-121895', 'mobil', '6.4', 'phone', 'cover', 'black', 'case', 'mobipart'}",2,5
EF-VG980LLEGEU,samsung,"{'for', 'galaxi', 's20', 'cover', 'leather'}",{'ef-vg980'},"{'blue', 'galaxi', '6.2', 'ef-vg980', 's20', 'cover', 'samsung'}","{'mobil', 'blue', '6.2', 'ef-vg980', 'phone', 'cover', 'case', 'samsung'}",0,0
EF-KG980CPEGEU,samsung,"{'for', 'galaxi', 's20', 'cover', 'led'}",{'ef-kg980'},"{'galaxi', '6.2', 's20', 'cover', 'ef-kg980', 'pink', 'samsung'}","{'mobil', '6.2', 'phone', 'cover', 'case', 'ef-kg980', 'pink', 'samsung'}",1,10
EF-PG980TBEGEU,samsung,"{'for', 'galaxi', 'silicon', 's20', 'cover'}",{'ef-pg980'},"{'galaxi', '6.2', 's20', 'cover', 'black', 'samsung', 'ef-pg980'}","{'mobil', '6.2', 'phone', 'cover', 'black', 'case', 'samsung', 'ef-pg980'}",0,0
EF-KG980CWEGEU,samsung,"{'for', 'galaxi', 's20', 'cover', 'led'}",{'ef-kg980'},"{'galaxi', '6.2', 's20', 'cover', 'white', 'ef-kg980', 'samsung'}","{'mobil', '6.2', 'phone', 'cover', 'white', 'case', 'ef-kg980', 'samsung'}",1,10
EF-VG980LJEGEU,samsung,"{'for', 'galaxi', 's20', 'cover', 'leather'}",{'ef-vg980'},"{'gray', 'galaxi', '6.2', 'ef-vg980', 's20', 'cover', 'samsung'}","{'mobil', 'gray', '6.2', 'ef-vg980', 'phone', 'cover', 'case', 'samsung'}",0,0
EF-KG980CBEGEU,samsung,"{'for', 'galaxi', 's20', 'cover', 'led'}",{'ef-kg980'},"{'galaxi', '6.2', 's20', 'cover', 'black', 'ef-kg980', 'samsung'}","{'mobil', '6.2', 'phone', 'cover', 'black', 'case', 'ef-kg980', 'samsung'}",1,10
