code,attribute,sort_order,labels
canon_brand,camera_brand,1,"{'de_DE': 'Canon', 'en_US': 'Canon', 'fr_FR': 'Canon'}"
nikon_brand,camera_brand,2,"{'de_DE': 'Nikon', 'en_US': 'Nikon', 'fr_FR': 'Nikon'}"
